1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Estado de México, México",,18–29 años,Hombre,Esporádicamente,1 vez,Otro: Una mezcla de todos estos factores,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,3.0,3.0,Seguridad,Demasiadas opciones sin guía,4.0,Rutas sugeridas,Exceso de publicidad,Cultura
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,4 veces o más,Cultura / Historia,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,3.0,3.0,Horarios actualizados,Información desactualizada,4.0,Recomendaciones locales confiables,Información falsa o incompleta,"Horarios actualizados, mapas "
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,5.0,Eventos o actividades del día,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,Información falsa o incompleta,"Que ofrezca opciones turísticas confiables, actualizadas y verídicas para aprovechar el tiempo de visita"
"Tlaxcala, México",,18–29 años,Mujer,Muy rara vez,1 vez,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Seguridad,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Confiabilidad 
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Poca visibilidad de comercios locales,1.0,Recomendaciones locales confiables,Exceso de publicidad,Ninguna
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,Recomendaciones de amigos / familia,Evito apps que parecen publicidad disfrazada,Fotos reales,3.0,3.0,Recomendaciones cercanas,Recomendaciones poco confiables,5.0,Comercios y servicios cercanos,Información falsa o incompleta,"Información,
Completa y fotos reales"
"Estado de México, México",,18–29 años,Mujer,Varias veces al año,2 veces,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Fotos reales,3.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Exceso de publicidad,Fantaseo
"Ciudad de México, México",,18–29 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,Información falsa o incompleta,Opiniones de más usuarios 
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",18–29 años,Hombre,Una vez al año,3 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,4.0,Mapas y rutas,Poca visibilidad de comercios locales,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Un viaje seguro hace la diferencia 
"Tamaulipas, México",,18–29 años,Hombre,Una vez al año,1 vez,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Excelente
"Baja California, México",,60 años o más,Hombre,Varias veces al año,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Horarios actualizados,Falta de información en el momento exacto,4.0,Información verificada,"Falta de valor real, Mala experiencia de uso, Información falsa o incompleta",Confíanza
"Hidalgo, México","Tizayuca, Hidalgo, México",18–29 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Eventos o actividades del día,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real","Diversión,seguridad y confianza "
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,4.0,Eventos o actividades del día,Información desactualizada,4.0,Eventos y experiencias locales,Información falsa o incompleta,Que me ofrezca información formación. Veraz 
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Cercanía / ubicación,5.0,3.0,Eventos o actividades del día,Recomendaciones poco confiables,3.0,Información verificada,Información falsa o incompleta,I formación verídica 
"Estado de México, México",,40–49 años,Mujer,Esporádicamente,1 vez,Viaje Familiar,Google,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Eventos o actividades del día,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones, Falta de valor real",Que describa todo la informacion necesaria del lugar a VISITAR 
"Hidalgo, México","Tepeapulco, Hidalgo, México",40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,5.0,5.0,Eventos o actividades del día,Recomendaciones poco confiables,5.0,Recomendaciones locales confiables,Información falsa o incompleta,
"Hidalgo, México","Apan, Hidalgo, México",50–59 años,Hombre,Varias veces al año,4 veces o más,Viaje Familiar,No busco inspiración,La información suele ser clara y actualizada,Cercanía / ubicación,5.0,5.0,Eventos o actividades del día,Información desactualizada,5.0,Uso sin conexión,"Exceso de publicidad, Información falsa o incompleta",
"Ciudad de México, México",,40–49 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Bu3na experiencia
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información verifi cada 
"Ciudad de México, México",,,Mujer,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,5.0,Eventos o actividades del día,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso, No confiar en las recomendaciones",Buenas recomendaciones 
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,4 veces o más,Cultura / Historia,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Cercanía / ubicación,4.0,5.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,Mala experiencia de uso,Información real
"Baja California, México",,30–39 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Poca visibilidad de comercios locales,5.0,Eventos y experiencias locales,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Buenas recomendaciones 
"Ciudad de México, México",,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Me ahorre tiempo 
"Ciudad de México, México",,30–39 años,Hombre,Esporádicamente,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Eventos o actividades del día,Falta de información en el momento exacto,5.0,Eventos y experiencias locales,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Que me proporciones información veridica. 
"Guerrero, México",,18–29 años,Hombre,Varias veces al año,2 veces,Aventura,Otro,Me generan seguridad para tomar decisiones,Fotos reales,5.0,5.0,Seguridad,Recomendaciones poco confiables,3.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Excelente i formación para conocer destinos turísticos 
"Ciudad de México, México",,50–59 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que me proporcione toda la información requerida
"Guerrero, México",,18–29 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,4.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Otro,Me ayudan a ahorrar tiempo,Cercanía / ubicación,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Increíble 
"Quintana Roo, México",,30–39 años,Mujer,Varias veces al año,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Recomendaciones cercanas,Información desactualizada,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso",Información cLARA
"Ciudad de México, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Eventos y experiencias locales,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que haya una ruta para puebleando
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Eventos o actividades del día,Falta de información en el momento exacto,5.0,Eventos y experiencias locales,Exceso de publicidad,Diversion
"Puebla, México",,40–49 años,Mujer,Una vez al año,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad","
Informacion Precisa, recomendaciones de excelentes lugares para comer,  etc"
"Puebla, México",,18–29 años,Mujer,Muy rara vez,2 veces,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea confiable y segura 
"Estado de México, México",,50–59 años,Hombre,Esporádicamente,4 veces o más,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,5.0,Seguridad,Información desactualizada,5.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea segura y confiable 
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,4.0,Recomendaciones cercanas,Demasiadas opciones sin guía,5.0,Rutas sugeridas,Exceso de publicidad,"Que cuente con información actualizada, de fácil manejo, "
"Estado de México, México",,30–39 años,Mujer,Una vez al año,1 vez,Viaje Familiar,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Rutas sugeridas,Información falsa o incompleta,Honestidad 
"Estado de México, México",,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Fácil de usar y manipular para una excelente navegación 
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad",Disfrutar del viaje
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,3 veces,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Que se trate de una plataforma oficial,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Eventos y experiencias locales,Información falsa o incompleta,Rutas y lugares por conocer
"Ciudad de México, México",,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Otro,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Seguridad,Falta de información en el momento exacto,4.0,Comercios y servicios cercanos,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea lugares seguros y familiares
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Rutas sugeridas,Información falsa o incompleta,Me ayude a conocer mejor mis rutas y los lugares turísticos 
"Ciudad de México, México",,40–49 años,Hombre,Varias veces al año,1 vez,Naturaleza,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Redes Sociales,Me generan seguridad para tomar decisiones,Que se trate de una plataforma oficial,5.0,5.0,Eventos o actividades del día,Información desactualizada,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Mala experiencia de uso",Más eventos
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,1 vez,Cultura / Historia,Redes Sociales,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Información confiable y actualizada 
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Precio,5.0,5.0,Horarios actualizados,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que sea confiable y actualizada 
"Estado de México, México",,40–49 años,Hombre,Una vez al año,1 vez,Naturaleza,Google,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,4.0,Eventos y experiencias locales,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Que sea información real  y certera
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,3 veces,Viaje Familiar,Redes Sociales,Me generan seguridad para tomar decisiones,Cercanía / ubicación,4.0,5.0,Mapas y rutas,Información desactualizada,4.0,Comercios y servicios cercanos,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea confiable y verificada
"Ciudad de México, México",,60 años o más,Mujer,Esporádicamente,2 veces,Descanso / relajación,Redes Sociales,Evito apps que parecen publicidad disfrazada,Fotos reales,5.0,5.0,Seguridad,Falta de información en el momento exacto,5.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Que sea real la información 
"Michoacán, México",,30–39 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,Otro,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Eventos y experiencias locales,Falta de valor real,Conocer más la cultura de mexico
"Tabasco, México",,30–39 años,Hombre,Varias veces al año,1 vez,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,4.0,4.0,Horarios actualizados,Información desactualizada,4.0,Recomendaciones locales confiables,Mala experiencia de uso,
"Estado de México, México",,30–39 años,Hombre,Una vez al año,2 veces,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,4.0,5.0,Horarios actualizados,Recomendaciones poco confiables,4.0,Información verificada,Exceso de publicidad,Recomendaciones reales
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,No busco inspiración,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Mucha seguridad
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Horarios actualizados,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Confiable y segura 
"Ciudad de México, México",,40–49 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Seguridad,Poca visibilidad de comercios locales,5.0,Comercios y servicios cercanos,Información falsa o incompleta,Facilidad de uso
"Hidalgo, México","Epazoyucan, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,5.0,Recomendaciones cercanas,Demasiadas opciones sin guía,4.0,Eventos y experiencias locales,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea confiable y actualizada 
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Rutas sugeridas,Información falsa o incompleta,Información actualizada clara consiste confiable para poder obtener lo más veras posiblee
"Hidalgo, México","Tianguistengo, Hidalgo, México",40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Seguridad,Falta de información en el momento exacto,5.0,Información verificada,"No confiar en las recomendaciones, Información falsa o incompleta, Falta de valor real",Que tenga todos los elementos importantes 
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,3.0,Recomendaciones cercanas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Rapido
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",18–29 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Horarios actualizados,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,Información falsa o incompleta,Que sea buena
"Michoacán, México",,50–59 años,Mujer,Esporádicamente,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,3.0,Mapas y rutas,Demasiadas opciones sin guía,4.0,Comercios y servicios cercanos,Mala experiencia de uso,Que muestre los lugares con fotos reales
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Google,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Demasiadas opciones sin guía,3.0,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Mucho 
"Ciudad de México, México",,18–29 años,Mujer,Una vez al año,2 veces,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,,5.0,Horarios actualizados,Información desactualizada,5.0,Información verificada,Mala experiencia de uso,Facilidad en el  uso 
"Veracruz de Ignacio de la Llave, México",,40–49 años,Mujer,Varias veces al año,1 vez,Viaje Familiar,Google,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Información offline,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,3 veces,4 veces o más,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,3.0,4.0,Mapas y rutas,Información desactualizada,3.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Puebla, México",,60 años o más,Hombre,Una vez al año,2 veces,4 veces o más,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,1.0,1.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",No uso nada digital 
"Hidalgo, México","Mixquiahuala de Juárez, Hidalgo, México",30–39 años,Mujer,Muy rara vez,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Horarios actualizados,Recomendaciones poco confiables,5.0,Rutas sugeridas,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Conocer lugares que están. Bonitos y no son expuesto 
"Hidalgo, México","Tulancingo de Bravo, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,5.0,5.0,Recomendaciones cercanas,Recomendaciones poco confiables,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Seguridad 
"Hidalgo, México","Tula de Allende, Hidalgo, México",40–49 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,Recomendaciones de amigos / familia,Evito apps que parecen publicidad disfrazada,Recomendación local,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Información verificada,Información falsa o incompleta,Explicacion completa de algunos itinerarios 
"Estado de México, México",,30–39 años,Mujer,Una vez al año,1 vez,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Rutas sugeridas,Exceso de publicidad,Mayor  seguridad 
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,4.0,4.0,Horarios actualizados,Demasiadas opciones sin guía,4.0,Rutas sugeridas,Mala experiencia de uso,Confianza 
"Estado de México, México",,50–59 años,Hombre,Varias veces al año,3 veces,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Precio,5.0,5.0,Seguridad,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Falta de valor real",Que muestreb precios
"Estado de México, México",,60 años o más,Hombre,Muy rara vez,1 vez,Descanso / relajación,Google,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,1.0,5.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad 
